Name(Chinese),Name(English),Location(Chinese),Location(English),AdditionalInfo
永豐西街,Wing Fung Street West,金鐘,Admiralty,None
永孝街,Wing Hau Street,葵涌,Kwai Chung,None
永興街,Wing Hing Street,北角、銅鑼灣,"North Point, Causeway Bay",None
永興街,Wing Hing Street,坪洲,Peng Chau,None
永康街,Wing Hong Street,長沙灣,Cheung Sha Wan,None
永基路,Wing Kei Road,葵涌,Kwai Chung,None
永建路,Wing Kin Road,葵涌,Kwai Chung,None
永吉街,Wing Kut Street,中環,Central,None
榮光街,Wing Kwong Street,紅磡,Hung Hom,None
永光街,Wing Kwong Street,坪洲,Peng Chau,None
穎禮路,Wing Lai Road,將軍澳、秀茂坪,"Tseung Kwan O, Sau Mau Ping",None
永立街,Wing Lap Street,葵涌,Kwai Chung,None
永利街,Wing Lee Street,上環,Sheung Wan,None
永利街,Wing Lee Street,坪洲,Peng Chau,None
永樂里,Wing Lok Lane,金鐘,Admiralty,None
永樂街,Wing Lok Street,上環,Sheung Wan,None
永隆街,Wing Lung Street,長沙灣,Cheung Sha Wan,None
永隆街,Wing Lung Street,坪洲,Peng Chau,None
永明街,Wing Ming Street,長沙灣,Cheung Sha Wan,None
永寧街,Wing Ning Street,灣仔,Wan Chai,None
永安橫街,Wing On Side Street,坪洲,Peng Chau,None
永安街,Wing On Street,中環,Central,None
永平街,Wing Ping Street,柴灣,Chai Wan,None
永生街,Wing Shang Street,上水,Sheung Shui,None
永順街,Wing Shun Street,荃灣、葵涌,"Tsuen Wan, Kwai Chung",None
永星里,Wing Sing Lane,油麻地,Yau Ma Tei,None
永泰道,Wing Tai Road,柴灣,Chai Wan,None
永德路,Wing Tak Road,荔枝角、深水埗,"Lai Chi Kok, Sham Shui Po",None
永德街,Wing Tak Street,荃灣,Tsuen Wan,None
永定道,Wing Ting Road,牛池灣,Ngau Chi Wan,None
永俊街,Wing Tsun Street,坪洲,Peng Chau,None
永東街,Wing Tung Street,坪洲,Peng Chau,None
榮華里,Wing Wah Lane,中環,Central,None
榮華台,Wing Wah Terrace,上環,Sheung Wan,None
永和街,Wing Wo Street,中環、上環,"Central, Sheung Wan",None
榮欣路,Wing Yan Road,坪洲、馬灣,"Peng Chau, Ma Wan",None
永賢街,Wing Yin Street,荃灣,Tsuen Wan,None
永業街,Wing Yip Street,葵涌,Kwai Chung,None
榮業街,Wing Yip Street,觀塘,Kwun Tong,None
永耀街,Wing Yiu Street,土瓜灣,To Kwa Wan,None
溫思勞街,Winslow Street,紅磡,Hung Hom,None
紫藤路,Wistaria Road,又一村,Yau Yat Chuen,None
禾輋街,Wo Che Street,沙田,Sha Tin,None
和衷街,Wo Chung Street,紅磡,Hung Hom,None
和豐街,Wo Fung Street,粉嶺,Fanling,None
和風街,Wo Fung Street,上環、西營盤,"Sheung Wan, Sai Ying Pun",None
禾香街,Wo Heung Street,沙田,Sha Tin,None
和興路,Wo Hing Road,粉嶺,Fanling,None
和康徑,Wo Hong Path,觀塘,Kwun Tong,None
和家樓路,Wo Ka Lau Road,粉嶺,Fanling,None
禾徑山路,Wo Keng Shan Road,粉嶺,Fanling,None
禾葵里,Wo Kwai Lane,葵涌,Kwai Chung,None
禾寮坑路,Wo Liu Hang Road,沙田,Sha Tin,None
和隆街,Wo Lung Street,粉嶺,Fanling,None
窩美紅棉路,Wo Mei Hung Min Road,西貢,Sai Kung,None
和鳴里,Wo Ming Lane,粉嶺,Fanling,None
和睦路,Wo Muk Road,粉嶺,Fanling,None
和滿街,Wo Mun Street,粉嶺,Fanling,None
和安里,Wo On Lane,中環,Central,None
和平徑,Wo Ping Path,屯門,Tuen Mun,None
和平新村里,Wo Ping San Tsuen Lane,洪水橋,Hung Shui Kiu,None
禾上墩街,Wo Sheung Tun Street,火炭,Fo Tan,None
禾盛街,Wo Shing Street,沙田,Sha Tin,None
禾穗街,Wo Shui Street,沙田,Sha Tin,None
和順里,Wo Shun Lane,長洲,Cheung Chau,None
和泰街,Wo Tai Street,粉嶺,Fanling,None
禾笛街,Wo Tik Street,荃灣,Tsuen Wan,None
禾塘咀街,Wo Tong Tsui Street,葵涌,Kwai Chung,None
和宜合里,Wo Yi Hop Lane,荃灣,Tsuen Wan,None
和宜合道,Wo Yi Hop Road,葵涌,Kwai Chung,None
窩仔街,Woh Chai Street,石硤尾,Shek Kip Mei,None
皇珠路,Wong Chu Road,屯門,Tuen Mun,None
黃竹坑徑,Wong Chuk Hang Path,黃竹坑,Wong Chuk Hang,None
黃竹坑道,Wong Chuk Hang Road,黃竹坑、香港仔、深水灣,"Wong Chuk Hang, Aberdeen, Deep Water Bay",None
黃竹街,Wong Chuk Street,深水埗,Sham Shui Po,None
黃竹洋街,Wong Chuk Yeung Street,沙田,Sha Tin,None
黃竹洋村徑,Wong Chuk Yeung Tsuen Path,沙田,Sha Tin,None
皇后山徑,Wong Hau Shan Drive,粉嶺,Fanling,None
黃崗圍路,Wong Kong Wai Road,藍地,Lam Tei,None
黃菊路,Wong Kuk Road,牛池灣,Ngau Chi Wan,None
黃龍坑道,Wong Lung Hang Road,東涌,Tung Chung,None
黃麻角徑,Wong Ma Kok Path,赤柱,Stanley,None
黃麻角道,Wong Ma Kok Road,赤柱,Stanley,None
黃泥涌峽道,Wong Nai Chung Gap Road,半山區、香港仔,"Mid-levels, Aberdeen",None
黃泥涌道,Wong Nai Chung Road,跑馬地,Happy Valley,None
黃泥墩村路,Wong Nai Tun Tsuen Road,大棠,Tai Tong,None
黃大仙道,Wong Tai Sin Road,黃大仙,Wong Tai Sin,None
旺堤街,Wong Tai Street,大角咀,Tai Kok Tsui,None
王屋里,Wong Uk Lane,沙田,Sha Tin,None
黃宜坳路,Wong Yi Au Road,大埔,Tai Po,None
旺賢街,Wong Yin Street,屯門,Tuen Mun,None
和合街,Woo Hop Street,石塘咀,Shek Tong Tsui,None
活道,Wood Road,灣仔,Wan Chai,"singlecn,officials"
活倫台,Woodlands Terrace,半山區,Mid-levels,None
胡列治路,Woolwich Road,八鄉、石崗,"Pat Heung, Shek Kong",british-p
吳松街,Woosung Street,油麻地、尖沙咀,"Yau Ma Tei, Tsim Sha Tsui",chi-place
環球里,World Wide Lane,中環,Central,None
湖昌街,Wu Cheong Street,屯門,Tuen Mun,None
湖翠路,Wu Chui Road,屯門,Tuen Mun,None
湖暉街,Wu Fai Street,屯門,Tuen Mun,None
湖康街,Wu Hong Street,屯門,Tuen Mun,None
烏溪沙路,Wu Kai Sha Road,馬鞍山,Ma On Shan,None
烏蛟騰路,Wu Kau Tang Road,沙頭角,Sha Tau Kok,None
湖景路,Wu King Road,屯門,Tuen Mun,None
湖光街,Wu Kwong Street,紅磡,Hung Hom,None
湖南街,Wu Nam Street,香港仔,Aberdeen,chi-place
湖安街,Wu On Street,屯門,Tuen Mun,None
湖北街,Wu Pak Street,香港仔,Aberdeen,chi-place
湖畔街,Wu Poon Street,屯門,Tuen Mun,None
湖秀街,Wu Sau Street,屯門,Tuen Mun,None
湖山路,Wu Shan Road,屯門,Tuen Mun,None
蝴蝶山路,Wu Tip Shan Road,粉嶺,Fanling,None
湖月街,Wu Yuet Street,屯門,Tuen Mun,None
蕪湖街,Wuhu Street,紅磡,Hung Hom,chi-place
匯翔道,Wui Cheung Road,尖沙咀,Tsim Sha Tsui,None
匯民道,Wui Man Road,油麻地,Yau Ma Tei,None
浣紗街,Wun Sha Street,銅鑼灣,Causeway Bay,None
運通街,Wun Tung Street,荃灣,Tsuen Wan,None
碗窰路,Wun Yiu Road,大埔,Tai Po,None
衛理徑,Wylie Path,何文田,Ho Man Tin,None
衛理道,Wylie Road,何文田,Ho Man Tin,None
雲咸街,Wyndham Street,中環,Central,None
帆船街,Yacht Street,北角,North Point,None
仁濟街,Yan Chai Street,荃灣,Tsuen Wan,None
欣翔道,Yan Cheung Road,油麻地,Yau Ma Tei,None
仁政街,Yan Ching Street,屯門,Tuen Mun,None
仁芳街,Yan Fong Street,葵涌,Kwai Chung,None
仁風街,Yan Fung Street,紅磡,Hung Hom,None
仁興街,Yan Hing Street,大埔,Tai Po,None
欣景路,Yan King Road,將軍澳,Tseung Kwan O,None
仁樂坊,Yan Lok Square,元朗,Yuen Long,None
仁愛圍,Yan Oi Court,觀塘,Kwun Tong,None
仁愛街,Yan Oi Street,新蒲崗,San Po Kong,None
仁愛堂街,Yan Oi Tong Circuit,屯門,Tuen Mun,None
仁壽里,Yan Shau Lane,中環,Central,None
欣盛里,Yan Shing Lane,粉嶺,Fanling,None
仁信里,Yan Shun Lane,觀塘,Kwun Tong,None
仁德里,Yan Tak Lane,灣仔,Wan Chai,None
茵翠街,Yan Tsui Street,柴灣,Chai Wan,None
欣華街,Yan Wah Street,慈雲山,Tsz Wan Shan,None
欣榮街,Yan Wing Street,油塘,Yau Tong,None
人和里,Yan Wo Lane,大埔,Tai Po,None
仁義路,Yan Yee Road,西貢,Sai Kung,None
欣業街,Yan Yip Street,牛頭角、觀塘,"Ngau Tau Kok, Kwun Tong",None
仁宇圍,Yan Yue Wai,油塘,Yau Tong,None
仁勇街,Yan Yung Street,紅磡,Hung Hom,None
逸祥街,Yat Cheung Street,馬料水,Ma Liu Shui,None
日富里,Yat Fu Lane,石塘咀,Shek Tong Tsui,None
一鳴路,Yat Ming Road,粉嶺,Fanling,None
逸雅里,Yat Nga Lane,大埔,Tai Po,None
日新街,Yat San Street,元朗,Yuen Long,None
日善街,Yat Sin Street,灣仔,Wan Chai,None
逸泰街,Yat Tai Street,沙田,Sha Tin,None
逸東街,Yat Tung Street,東涌,Tung Chung,None
逸遙路,Yat Yiu Avenue,大埔滘,Tai Po Kau,None
友翔道,Yau Cheung Road,油麻地,Yau Ma Tei,None
友全街,Yau Chuen Street,元朗,Yuen Long,None
有康街,Yau Hong Street,油塘,Yau Tong,None
優景里,Yau King Lane,大埔,Tai Po,None
友光街,Yau Kwong Street,坪洲,Peng Chau,None
悠麗路,Yau Lai Road,汀九,Ting Kau,None
游龍徑,Yau Lung Path,牛池灣,Ngau Chi Wan,None
油麻磡路,Yau Ma Hom Road,荃灣,Tsuen Wan,None
油麻莆街,Yau Ma Po Street,西貢,Sai Kung,None
祐民街,Yau Man Street,鰂魚涌,Quarry Bay,None
祐滿街,Yau Moon Street,何文田,Ho Man Tin,None
友愛路,Yau Oi Road,屯門,Tuen Mun,None
悠安街,Yau On Street,大圍,Tai Wai,None
攸壆路,Yau Pok Road,元朗,Yuen Long,None
又新街,Yau San Street,元朗,Yuen Long,None
友善街,Yau Shin Street,元朗,Yuen Long,None
有信街,Yau Shun Street,茶果嶺,Cha Kwo Ling,None
攸田東路,Yau Tin East Road,元朗,Yuen Long,None
攸田西路,Yau Tin West Road,元朗,Yuen Long,None
悠定街,Yau Ting Street,大圍,Tai Wai,None
油塘里,Yau Tong Lane,油塘,Yau Tong,None
油塘道,Yau Tong Road,油塘,Yau Tong,None
友榮街,Yau Wing Street,坪洲,Peng Chau,None
由義里,Yau Yee Lane,西營盤、石塘咀,"Sai Ying Pun, Shek Tong Tsui",None
魷魚灣村道,Yau Yue Wan Village Road,將軍澳,Tseung Kwan O,None
怡豐街,Yee Fung Street,柴灣,Chai Wan,None
怡景道,Yee King Road,銅鑼灣,Causeway Bay,None
醫局街,Yee Kuk Street,深水埗、長沙灣,"Sham Shui Po, Cheung Sha Wan",None
醫局西街,Yee Kuk West Street,長沙灣,Cheung Sha Wan,None
宜安街,Yee On Street,觀塘,Kwun Tong,None
怡盛里,Yee Shing Lane,柴灣,Chai Wan,None
怡盛街,Yee Shing Street,柴灣,Chai Wan,None
怡順街,Yee Shun Street,柴灣,Chai Wan,None
怡泰街,Yee Tai Street,柴灣,Chai Wan,None
義懷徑,Yee Wai Path,葵涌,Kwai Chung,None
怡和街,Yee Wo Street,銅鑼灣,Causeway Bay,None
欽州街,Yen Chow Street,深水埗,Sham Shui Po,chi-place
欽州街西,Yen Chow Street West,深水埗,Sham Shui Po,chi-place
欽明路,Yen Ming Road,深水埗、大角咀,"Sham Shui Po, Tai Kok Tsui",None
賢華街,Yen Wah Steps,灣仔,Wan Chai,None
賢華台,Yen Wah Terrace,灣仔,Wan Chai,None
楊景路,Yeung King Road,屯門,Tuen Mun,None
楊青路,Yeung Tsing Road,屯門,Tuen Mun,None
楊屋道,Yeung Uk Road,荃灣,Tsuen Wan,None
宜正里,Yi Ching Lane,沙田,Sha Tin,None
宜春街,Yi Chun Street,西貢,Sai Kung,None
怡康街,Yi Hong Street,荃灣,Tsuen Wan,None
怡樂街,Yi Lok Street,荃灣,Tsuen Wan,None
彝倫街,Yi Lun Street,新蒲崗,San Po Kong,None
怡南路,Yi Nam Road,鴨脷洲,Ap Lei Chau,None
怡雅路,Yi Nga Drive,鴨脷洲,Ap Lei Chau,None
二陂圳路,Yi Pei Chun Road,荃灣、葵涌,"Tsuen Wan, Kwai Chung",None
二陂坊,Yi Pei Square,荃灣,Tsuen Wan,None
怡成坊,Yi Shing Square,沙田,Sha Tin,None
怡東路,Yi Tung Road,東涌,Tung Chung,None
亦園路,Yick Yuen Road,洪水橋,Hung Shui Kiu,None
益群道,Yik Kwan Avenue,銅鑼灣,Causeway Bay,None
奕蔭街,Yik Yam Street,跑馬地,Happy Valley,None
染布房街,Yim Po Fong Street,旺角,Mong Kok,None
煙廠街,Yin Chong Street,旺角,Mong Kok,None
衍慶街,Yin Hing Street,新蒲崗,San Po Kong,None
燕崗路,Yin Kong Road,上水,Sheung Shui,None
燕安街,Yin On Street,土瓜灣,To Kwa Wan,None
延坪道,Yin Ping Road,九龍塘,Kowloon Tong,None
燕子里,Yin Tse Lane,大埔,Tai Po,None
英才徑,Ying Choi Path,土瓜灣,To Kwa Wan,None
英輝台,Ying Fai Terrace,半山區,Mid-levels,None
盈福街,Ying Fuk Street,元朗,Yuen Long,None
盈鳳里,Ying Fung Lane,黃大仙,Wong Tai Sin,None
迎禧路,Ying Hei Road,東涌,Tung Chung,None
映河路,Ying Ho Road,元朗,Yuen Long,None
迎康街,Ying Hong Street,東涌,Tung Chung,None
迎東路,Ying Tung Road,東涌,Tung Chung,None
英華街,Ying Wa Street,長沙灣,Cheung Sha Wan,None
英華台,Ying Wa Terrace,西營盤,Sai Ying Pun,None
迎運里,Ying Wan Lane,大圍,Tai Wai,None
鷹揚街,Ying Yeung Street,土瓜灣,To Kwa Wan,None
影業路,Ying Yip Road,將軍澳,Tseung Kwan O,None
業暢街,Yip Cheong Street,粉嶺,Fanling,None
業發街,Yip Fat Street,黃竹坑,Wong Chuk Hang,None
業豐街,Yip Fung Street,粉嶺,Fanling,None
業興街,Yip Hing Street,黃竹坑,Wong Chuk Hang,None
業勤街,Yip Kan Street,黃竹坑,Wong Chuk Hang,None
業成街,Yip Shing Street,葵涌,Kwai Chung,None
業和街,Yip Wo Street,粉嶺,Fanling,None
業旺路,Yip Wong Road,屯門,Tuen Mun,None
耀興道,Yiu Hing Road,筲箕灣,Shau Kei Wan,None
耀沙路,Yiu Sha Road,馬鞍山,Ma On Shan,None
耀星街,Yiu Sing Street,中環,Central,None
耀東街,Yiu Tung Street,深水埗,Sham Shui Po,None
耀華街,Yiu Wa Street,銅鑼灣,Causeway Bay,None
窰圍街,Yiu Wai Street,沙田,Sha Tin,None
耀榮里,Yiu Wing Lane,葵涌,Kwai Chung,None
耀榮街,Yiu Wing Street,葵涌,Kwai Chung,None
約道,York Road,九龍塘,Kowloon Tong,"singlecn,british-p"
汝州街,Yu Chau Street,深水埗,Sham Shui Po,chi-place
汝州西街,Yu Chau West Street,長沙灣,Cheung Sha Wan,chi-place
瑜翠街,Yu Chui Street,屯門,Tuen Mun,None
餘慶里,Yu Hing Lane,上環,Sheung Wan,None
裕景坊,Yu King Square,元朗,Yuen Long,None
餘樂里,Yu Lok Lane,西營盤,Sai Ying Pun,None
漁安街,Yu On Street,大埔,Tai Po,None
裕泰路,Yu Tai Road,粉嶺,Fanling,None
裕東路,Yu Tung Road,東涌,Tung Chung,None
裕榮徑,Yu Wing Path,元朗,Yuen Long,None
漁暉道,Yue Fai Road,香港仔,Aberdeen,None
漁豐街,Yue Fung Street,香港仔,Aberdeen,None
愉景街,Yue King Street,坪洲,Peng Chau,None
漁歌街,Yue Ko Street,香港仔,Aberdeen,None
漁光道,Yue Kwong Road,香港仔,Aberdeen,None
漁利街,Yue Lei Street,香港仔,Aberdeen,None
裕民坊,Yue Man Square,觀塘,Kwun Tong,None
漁安苑道,Yue On Court Road,鴨脷洲,Ap Lei Chau,None
寓安里,Yue On Lane,將軍澳,Tseung Kwan O,None
魚市場道,Yue Shi Cheung Road,香港仔,Aberdeen,None
漁獲街,Yue Wok Street,香港仔,Aberdeen,None
圓洲角路,Yuen Chau Kok Road,沙田,Sha Tin,None
源昌里,Yuen Cheong Lane,沙田,Sha Tin,None
元政路,Yuen Ching Road,元朗,Yuen Long,None
元發徑,Yuen Fat Path,元朗,Yuen Long,None
元慶里,Yuen Hing Lane,筲箕灣,Shau Kei Wan,None
源康街,Yuen Hong Street,小瀝源,Siu Lek Yuen,None
鉛礦凹街,Yuen Kong Au Street,火炭,Fo Tan,None
元朗公路,Yuen Long Highway,屏山,Ping Shan,None
元朗康樂路,Yuen Long Hong Lok Road,元朗,Yuen Long,None
元朗舊墟路,Yuen Long Kau Hui Road,元朗,Yuen Long,None
元朗新街,Yuen Long New Street,元朗,Yuen Long,None
元朗安興街,Yuen Long On Hing Street,元朗,Yuen Long,None
元朗安樂路,Yuen Long On Lok Road,元朗,Yuen Long,None
元朗安寧路,Yuen Long On Ning Road,元朗,Yuen Long,None
元朗炮仗坊,Yuen Long Pau Cheung Square,元朗,Yuen Long,None
元朗泰祥街,Yuen Long Tai Cheung Street,元朗,Yuen Long,None
元朗泰衡街,Yuen Long Tai Hang Street,元朗,Yuen Long,None
元朗體育路,Yuen Long Tai Yuk Road,元朗,Yuen Long,None
元朗東成里路,Yuen Long Tung Shing Lei Road,元朗,Yuen Long,None
元朗東堤街,Yuen Long Tung Tai Street,元朗,Yuen Long,None
元龍街,Yuen Lung Street,元朗,Yuen Long,None
園藝街,Yuen Ngai Street,旺角,Mong Kok,None
源安街,Yuen On Street,沙田,Sha Tin,None
園圃街,Yuen Po Street,旺角,Mong Kok,None
完善路,Yuen Shin Road,大埔,Tai Po,None
源順圍,Yuen Shun Circuit,沙田,Sha Tin,None
元大路,Yuen Tai Road,石崗,Shek Kong,None
圓墩圍,Yuen Tun Circuit,荃灣,Tsuen Wan,None
源禾路,Yuen Wo Road,沙田,Sha Tin,None
源遠街,Yuen Yuen Street,跑馬地,Happy Valley,None
悅海街,Yuet Hoi Street,鴨脷洲,Ap Lei Chau,None
月輪街,Yuet Lun Street,荔枝角,Lai Chi Kok,None
月華街,Yuet Wah Street,觀塘,Kwun Tong,None
月園街,Yuet Yuen Street,北角,North Point,None
育才道,Yuk Choi Road,紅磡,Hung Hom,None
毓學里,Yuk Hok Lane,慈雲山、鑽石山,"Tsz Wan Shan, Diamond Hill",None
育康街,Yuk Hong Street,屯門,Tuen Mun,None
育群街,Yuk Kwan Street,九龍城,Kowloon City,None
毓雅里,Yuk Nga Lane,將軍澳,Tseung Kwan O,None
毓秀里,Yuk Sau Lane,西營盤,Sai Ying Pun,None
毓秀街,Yuk Sau Street,跑馬地,Happy Valley,None
玉石里,Yuk Shek Lane,西貢,Sai Kung,None
玉成街,Yuk Shing Street,紅磡,Hung Hom,None
旭昇道,Yuk Sing Road,深井,Sham Tseng,None
沃泰街,Yuk Tai Street,馬鞍山,Ma On Shan,None
育青里,Yuk Tsing Lane,屯門,Tuen Mun,None
毓華里,Yuk Wah Crescent,慈雲山、鑽石山,"Tsz Wan Shan, Diamond Hill",None
毓華街,Yuk Wah Street,慈雲山,Tsz Wan Shan,None
旭日街,Yuk Yat Street,土瓜灣,To Kwa Wan,astronomical
恩平道,Yun Ping Road,銅鑼灣,Causeway Bay,chi-place
湧浪路,Yung Long Road,流浮山、屯門,"Lau Fau Shan, Tuen Mun",None
雍坪徑,Yung Ping Path,沙田,Sha Tin,None
榕樹灣後街,Yung Shue Wan Back Street,南丫島,Lamma Island,None
榕樹灣大街,Yung Shue Wan Main Street,南丫島,Lamma Island,None
雍宜路,Yung Yi Road,大埔,Tai Po,None
庸園路,Yung Yuen Road,元朗,Yuen Long,None
容容路,Yung Yung Road,清水灣,Clear Water Bay,None
雲南里,Yunnan Lane,油麻地,Yau Ma Tei,chi-place
泄蘭街,Zetland Street,中環,Central,british-p
海怡路,South Horizon Drive,鴨脷洲,Ap Lei Chau,None
松秀東街,Tsung Sau Lane East,上環,Sheung Wan,None
松秀西街,Tsung Sau Lane West,上環,Sheung Wan,None
黃菊路 ,Wong Kuk Avenue,牛池灣,Ngau Chi Wan,None
龍欣道,Lung Yan Street,石硤尾,Shek Kip Mei,None
肇堅里,Shiu Kin Lane,灣仔,Wan Chai,None
啟新道,Kai San Road,黃大仙,Wong Tai Sin,None
沐朗街,Muk Long Street,九龍城,Kowloon City,None
丹荔街,Tan Lai Street,長沙灣,Cheung Sha Wan,None
香葉徑,Heung Yip Path,黃竹坑,Wong Chuk Hang,None
順捷路,Shun Chit Road,東涌,Tung Chung,None
順暉路,Shun Fai Road,東涌,Tung Chung,None
順行路,Shun Hang Road,東涌,Tung Chung,None
順連路,Shun Lin Road,東涌,Tung Chung,None
順朗路,Shun Long Road,東涌,Tung Chung,None
順旅路,Shun Lui Road,東涌,Tung Chung,None
順明路,Shun Ming Road,東涌,Tung Chung,None
順岸路,Shun Ngon Road,東涌,Tung Chung,None
順環路,Shun Wan Road,東涌,Tung Chung,None
順匯路,Shun Wui Road,東涌,Tung Chung,None
振翅里北,Chun Chi Lane North,九龍城,Kowloon City,None
振翅里南,Chun Chi Lane South,九龍城,Kowloon City,None
高飛里南,Ko Fei Lane South,九龍城,Kowloon City,None
高飛里北,Ko Fei Lane North,九龍城,Kowloon City,None
啟融里,Kai Yung Lane,九龍城,Kowloon City,None
沐泰街,Muk Tai Street,九龍城,Kowloon City,None
沐元街,Muk Yuen Street,九龍城,Kowloon City,None
善鄰里,Shin Lun Lane,九龍城,Kowloon City,None
天際里東,Tin Chai Lane East,九龍城,Kowloon City,None
天際里西,Tin Chai Lane West,九龍城,Kowloon City,None
揚帆里北,Yueng Fan Lane North,九龍城,Kowloon City,None
揚帆里南,Yueng Fan Lane South,九龍城,Kowloon City,None
遠洋里北,Yuen Yeung Lane North,九龍城,Kowloon City,None
遠洋里南,Yuen Yeung Lane South,九龍城,Kowloon City,None
安信徑,On Shun Path,元朗,Yuen Long,None
西菁徑,Sai Ching Path,元朗,Yuen Long,None
建翔街,Kin Cheung Street,元朗,Yuen Long,None
建業徑,Kin Yip Path,元朗,Yuen Long,None
菁裕徑,Ching Yu Path,元朗,Yuen Long,None
鳳攸徑,Fung Yau Path,元朗,Yuen Long,None
鳳翔徑,Fung Cheung Path,元朗,Yuen Long,None
鳳群徑,Fung Kwan Path,元朗,Yuen Long,None
怡明徑,Yee Ming Path,西貢,Sai Kung,None
屏健里,Ping Kin Lane,元朗,Yuen Long,None
朗藝徑,Long Ngai Path,元朗,Yuen Long,None
屏廈徑,Ping Ha Path,元朗,Yuen Long,None
西裕徑,Sai Yu Path,元朗,Yuen Long,None
天瑞徑,Tin Shui Path,元朗,Yuen Long,None
天影徑,Tin Ying Path,元朗,Yuen Long,None
蘇黎世大道,Zurich Avenue,北區,North,None
麒麟圍１巷,1st Lane Kei Lun Wai,屯門區,Tuen Mun,None
麒麟圍２巷,2nd Lane Kei Lun Wai,屯門區,Tuen Mun,None
麒麟圍３巷,3rd Lane Kei Lun Wai,屯門區,Tuen Mun,None
麒麟圍４巷,4th Lane Kei Lun Wai,屯門區,Tuen Mun,None
麒麟圍５巷,5th Lane Kei Lun Wai,屯門區,Tuen Mun,None
行政道,Administration Road,離島區,Islands,None
機場北交匯處,Airport North Interchange,離島區,Islands,None
機場南交匯處,Airport South Interchange,離島區,Islands,None
機場隧道,Airport Tunnel,離島區,Islands,None
亞厘架巷,Algar Court,中西區,Central and Western,None
康樂道,Amenity Road,離島區,Islands,None
凡爾賽大道,Avenue De Versailles,元朗區,Yuen Long,None
艾維奧大道,Avio Boulevard,元朗區,Yuen Long,None
白加力街,Bagrie Street,灣仔區,Wan Chai,None
巴恩大道,Bahans Avenue,元朗區,Yuen Long,None
伯恩大道,Bern Avenue,北區,North,None
巴維拉大道,Bevera Boulevard,元朗區,Yuen Long,None
生物科技路,Biotechnology Avenue,沙田區,Sha Tin,None
鍋爐路東段,Boiler Road East,屯門區,Tuen Mun,None
鍋爐路西段,Boiler Road West,屯門區,Tuen Mun,None
萊茵道,Boulevard De Cascade,大埔區,Tai Po,None
銀池道,Boulevard De Fontaine,大埔區,Tai Po,None
翠樺道,Boulevard De Foret,大埔區,Tai Po,None
愛琴道,Boulevard De Mer,大埔區,Tai Po,None
湖景道,Boulevard Du Lac,大埔區,Tai Po,None
溫莎道,Boulevard Du Palais,大埔區,Tai Po,None
主橋路,Bridge Road,離島區,Islands,None
環迴東路,Campus Circuit East,沙田區,Sha Tin,None
環迴北路,Campus Circuit North,沙田區,Sha Tin,None
環迴西路,Campus Circuit West,大埔區,Tai Po,None
半山徑　,Celestial Avenue,九龍城區,Kowloon City,None
中央道,Central Avenue,大埔區,Tai Po,None
中路,Central Road,元朗區,Yuen Long,None
中環及灣仔繞道隧道,Central-wanchai Bypass Tunnel,中西區,Central and Western,None
卓維雅大道,Cervia Boulevard,元朗區,Yuen Long,None
茶果嶺大街,Cha Kwo Ling Main Street,觀塘區,Kwun Tong,None
教堂路,Chapel Road,沙田區,Sha Tin,None
赤鱲角路,Chek Lap Kok Road,離島區,Islands,None
誠明徑,Cheng Ming Link,沙田區,Sha Tin,None
長青橋,Cheung Tsing Bridge,荃灣區,Tsuen Wan,None
志成里,Chi Shing Lane,灣仔區,Wan Chai,None
志仁一里,Chi Yan First Lane,離島區,Islands,None
煙囱路,Chimney Road,屯門區,Tuen Mun,None
正暉街,Ching Fai Street,黃大仙區,Wong Tai Sin,None
彩虹交匯處,Choi Hung Interchange,黃大仙區-觀塘區,Wong Tai Sin-Kwun Tong,None
彩盛里,Choi Shing Lane,觀塘區,Kwun Tong,None
泉源道東,Chuen Yuen Road East,觀塘區,Kwun Tong,None
泉源道西,Chuen Yuen Road West,觀塘區,Kwun Tong,None
翠福路,Chui Fuk Road,屯門區,Tuen Mun,None
竹興里,Chuk Hing Lane,中西區,Central and Western,None
竹安里,Chuk On Lane,中西區,Central and Western,None
駿運路交匯處,Chun Wan Road Interchange,離島區,Islands,None
崇基路,Chung Chi Road,沙田區,Sha Tin,None
中興後街,Chung Hing Back Street,離島區,Islands,None
中興海傍街,Chung Hing Praya Street,離島區,Islands,None
涌盛街,Chung Shing Street,離島區,Islands,None
中心村第一巷,Chung Sum Tsuen Lane No.1,北區,North,None
中心村第二巷,Chung Sum Tsuen Lane No.2,北區,North,None
中心村第三巷,Chung Sum Tsuen Lane No.3,北區,North,None
中心村第四巷,Chung Sum Tsuen Lane No.4,北區,North,None
中心村第五巷,Chung Sum Tsuen Lane No.5,北區,North,None
中心村第六巷,Chung Sum Tsuen Lane No.6,北區,North,None
中心村第七巷,Chung Sum Tsuen Lane No.7,北區,North,None
中心村第八巷,Chung Sum Tsuen Lane No.8,北區,North,None
庫爾大道,Chur Avenue,北區,North,None
煤場道,Coal Yard Road,離島區,Islands,None
除鹽設備路,Demineralisation Plant Road,離島區,Islands,None
愉景灣隧道,Discovery Bay Tunnel,離島區,Islands,None
迪維尼亞大道,Diveria Boulevard,元朗區,Yuen Long,None
荷蘭徑,Dutch Lane,中西區,Central and Western,None
東橋路,East Bridge Road,離島區,Islands,None
東碼頭道,East Wharf Road,離島區,Islands,None
